"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 206","Latin; Italian","Calendar appears to be of the Use of Milan (Saint Ambrose, December 7); circa 1520","1520","Milan, Italy","Book of Hours;16th century;Italian;Italy;Devotion;Historiated initial;Illumination;Miniature","http://openn.library.upenn.edu/Data/0023/lewis_e_206/data/web/5506_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_206.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_206.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_206/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_206/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_206/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_206/index.html#page/1/mode/2up</a>,"","This Book of Hours, of the Use of Rome, was likely made in Milan around 1520; its miniatures are typical of Milanese miniature painting of the third decade of the sixteenth century. The book begins with a calendar with includes Saint Ambrose, bishop of Milan. There follow three full-page prefatory miniatures depicting an unidentified female martyr, Saint Catherine of Alexandria, and the Virgin and Child respectively, prior the the Hours of the Virgin. The first page of the Hours of the Virgin (fol. 17r) is ornamented with a full foliate border and includes, in its lower margin, a cartouche with the Sforza Biscione (sinister) and De Raude/da Rho (dexter) coats of arms and lettering, somewhat damaged, which can be read as Cornelia de Raude. Each Hour for the Hours of the Virgin and each subsequent textual section begins with a very fine historiated initial; these number thirteen in total. The final prayer, to Christ, is in Italian (fols. 122r-130v).",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_206/lewis_e_206.html">http://138.197.87.173/bibliophilly/collation/lewis_e_206/lewis_e_206.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Prayer book","Lewis E 207","Latin","Circa 1510","1510","Milan, Italy","Prayer book;Prayer;16th century;Christian;Historiated initial;Illustration;Miniature;Italy;Devotion","http://openn.library.upenn.edu/Data/0023/lewis_e_207/data/web/5572_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_207.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_207.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_207/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_207/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_207/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_207/index.html#page/1/mode/2up</a>,"","This manuscript contains a prayer book.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Paris","Lewis E 208","French, Middle (ca.1400-1600); Latin","Third quarter of the 15th century","1450-1475","France","Book of Hours;15th century;French;France;Miniature;Biblical","http://openn.library.upenn.edu/Data/0023/lewis_e_208/data/web/5486_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_208.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_208.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_208/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_208/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_208/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_208/index.html#page/1/mode/2up</a>,"","This Book of Hours of the Use of Paris was written for masculine use. It contains a calendar; the Gospel Lessons, the Obsecro te and O intemerata prayers; the Hours of the Virgin; the Penitential Psalms, Litany, and associated prayers; the Hours of the Cross and Hours of the Holy Spirit; the Office of the Dead; and the Fifteen Joys of the Virgin and Seven Requests of Our Lord, in French. The texts are accompanied by eight miniatures, including a miniature of the Pentecost on folio 104r which, along with the text on that folio, is a modern reproduction intended to replace a missing leaf.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_208/lewis_e_208.html">http://138.197.87.173/bibliophilly/collation/lewis_e_208/lewis_e_208.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Rule of Saint Augustine; Sermon on Matthew 25:6","Lewis E 213","Dutch, Middle (ca.1050-1350); Latin","Written in the Cloister of Jericho; late 15th century","1480-1499","Brussels, Flanders","Commentary;Church Fathers;Theology;15th century;Christian;Dutch;Flemish;Colophon;Belgium;Flanders","http://openn.library.upenn.edu/Data/0023/lewis_e_213/data/web/5595_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_213.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_213.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_213/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_213/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_213/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_213/index.html#page/1/mode/2up</a>,"","This manuscript was written in the late fifteenth century at the Cloister of Jericho in Brussels by eleven nuns, who are named in the colophon. It contains the Rule of Saint Augustine with commentary by Hugh of Saint-Victor, and a sermon on Matthew 25:6, both in Dutch with some Latin rubrics. It is written on paper in Hybrida script with numerous changes of hand, three penwork initials, and rubrication and underlining in red.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_213/lewis_e_213.html">http://138.197.87.173/bibliophilly/collation/lewis_e_213/lewis_e_213.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Summa confessionis","Lewis E 215","Latin","15th century","1400-1499","Italy","15th century;Christian;Italy;Theology;Manicules","http://openn.library.upenn.edu/Data/0023/lewis_e_215/data/web/5657_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_215.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_215.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_215/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_215/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_215/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_215/index.html#page/1/mode/2up</a>,"","This manuscript is a fifteenth-century copy of Antoninus Florentinus' Summa confessionis, a manual for the practice of confession. Florentinus (1389-1459) was a Dominican friar who became the Archbishop of Florence in 1446.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_215/lewis_e_215.html">http://138.197.87.173/bibliophilly/collation/lewis_e_215/lewis_e_215.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Prayer book","Lewis E 217","Dutch, Middle (ca.1050-1350)","Circa 1550","1550","Brabant?, Netherlands","16th century;Netherlands;Prayer book;Dutch;Devotion;Paper;Binding;Watermark;Musical notation","http://openn.library.upenn.edu/Data/0023/lewis_e_217/data/web/5745_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_217.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_217.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_217/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_217/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_217/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_217/index.html#page/1/mode/2up</a>,"","This manuscript on paper is a mid-sixteenth-century Dutch prayer book, including many prayers to Mary, Jesus, Saint Anne, and the Holy Spirit. It is written by at least five hands in hybrida and cursive scripts, in a dialect of Dutch suggesting an origin in Brabant. It has decorated initials at the beginning of longer prayers and smaller red initials and rubrication throughout.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_217/lewis_e_217.html">http://138.197.87.173/bibliophilly/collation/lewis_e_217/lewis_e_217.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature)","Lewis E 237","Latin","1442","1442","Italy","Treatise;15th century;Christian;Italy;Paper;Philosophy","http://openn.library.upenn.edu/Data/0023/lewis_e_237/data/web/5025_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_237.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_237.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_237/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_237/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_237/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_237/index.html#page/1/mode/2up</a>,"","This manuscript contains the treatise Ad adolescentes de legendis libris gentilium.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_237/lewis_e_237.html">http://138.197.87.173/bibliophilly/collation/lewis_e_237/lewis_e_237.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Devotional extracts from the bible","Lewis E 255","German","The present manuscript contains the same selection of biblical excerpts as a vellum imprint, printed in Leipzig by Jacobs Berwaldts [Bärwald] Erben in 1581 (only located printed copy: Paris, BnF, Vélins-1790); there are initials in a rounded medallion placed in lower border of ff. 11v, 19v, 23v, 30v, 43v: initials B / V / E / S separated by a crossed candelabra and dagger; also found in the lower borders of the 1581 edition, these initials have not been identified, but there is a supplementary clue in the printed 1581 edition: the blank heraldic shield simply inscribed here in ink with the letter L (fol. 24) [for Leipzig?], is instead interestingly filled with the arms of the Prince Elector Augustus of Saxony (1553-1586); he collected books that would be useful in his endeavors, following the advice of professors at the University of Leipzig, and taking advantage of the great Frankfurt and Leipzig book fairs; the luxury of the present copy suggests that it could be a presentation or preparatory copy made for or in the circle of the Prince Elector Augustus of Saxony (who ruled Saxony from 1553 to 1586), a reputed bibliophile, who commissioned manuscripts and imprints for the Electoral Library founded in Dresden in 1556; circa 1580, likely before 1581","1580","Leipzig?, Saxony, Germany","16th century;German;Germany;Biblical;Devotion;Private devotional text;Christian;Gothic;Woodcuts;Notable binding","http://openn.library.upenn.edu/Data/0023/lewis_e_255/data/web/5329_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_255.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_255.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_255/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_255/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_255/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_255/index.html#page/1/mode/2up</a>,"","This compact devotional work contains biblical extracts taken from the Lutheran 1534 German translation, illustrated by small hand-colored narrative woodcuts and woodcut borders. It was likely realized for or in a Saxon (princely?) milieu, as there exists a very rare imprint (unicum?) of the same text in Paris (Paris, BnF, Vélins-1790) with a shield of the Prince Elector Augustus of Saxony. The elegant and unusual binding presents panels recorded on Leipzig or Wittemberg bindings of the second half of the sixteenth century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_255/lewis_e_255.html">http://138.197.87.173/bibliophilly/collation/lewis_e_255/lewis_e_255.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Utrecht","Lewis E 257","Dutch, Middle (ca.1050-1350)","Circa 1505","1505","Eastern Netherlands","Book of Hours;16th century;Christian;Dutch;Netherlands;Illumination;Miniature;Original binding;Devotion","http://openn.library.upenn.edu/Data/0023/lewis_e_257/data/web/5709_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_257.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_257.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_257/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_257/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_257/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_257/index.html#page/1/mode/2up</a>,"","This manuscript, which belonged to a Franciscan sister, is an early sixteenth-century Dutch book of hours for the Use of Utrecht in the translation of Geert Groote. The leaves comprising the calendar and several of the leaves with large decorated initials marking the major text divisions are parchment and the rest of the manuscript is paper. The full-page miniature of the Trinity at the beginning is enclosed by a border printed from a metal cut and colored by hand.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_257/lewis_e_257.html">http://138.197.87.173/bibliophilly/collation/lewis_e_257/lewis_e_257.html</a>,"Online? Yes",""
"Free Library of Philadelphia, The Rosenbach","Almanack","MS 1004/29","Latin","1364","1364","York, England","14th century;English;England;Science -- Medicine;Chart;Astronomy;Notable binding","http://openn.library.upenn.edu/Data//ms_1004_029/data/web/5964_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/ms_1004_029.html">http://openn.library.upenn.edu/Data//html/ms_1004_029.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//ms_1004_029/data/">http://openn.library.upenn.edu/Data//ms_1004_029/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/ms_1004_029/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/ms_1004_029/index.html#page/1/mode/2up</a>,"","A mid-fourteenth-century physician's belt book containing calendar, tables of solar and lunar eclipses, anatomical phlebotomy diagram, and urine wheel.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia, The Rosenbach","Les regnars traversant les perilleuses voyes des folles fiances du monde","MS 197/30","French, Middle (ca.1400-1600)","Circa 1505-1510","1505-1510","Ghent?, Low Countries","16th century;Illustration;Miniature;Belgium;Literature -- Poetry;Illumination;Christian","http://openn.library.upenn.edu/Data//ms_197_030/data/web/6008_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data//html/ms_197_030.html">http://openn.library.upenn.edu/Data//html/ms_197_030.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data//ms_197_030/data/">http://openn.library.upenn.edu/Data//ms_197_030/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/ms_197_030/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/ms_197_030/index.html#page/1/mode/2up</a>,"","This manuscript represents the sole known illuminated copy of a text by Jean Bouchet entitled Les Regnars traversant les perilleuses voyes des folles fiances du monde. Employing the fox as a metaphor for the vices of contemporary man, Bouchet's text and the nine accompanying miniatures denounce all estates of society: the king, the nobility, the clergy, the merchant class, and the common people. The author was a law clerk and rhetorician from Poitiers, France, but this manuscript copy of his text was produced for Philip the Handsome, archduke of Austria, while he was duke of Burgundy and count of Charolais. A slightly different version of this text was published, with woodcuts, by the Parisian publisher Antoine Vérard in late 1503 or early 1504.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/ms_197_030/ms_197_030.html">http://138.197.87.173/bibliophilly/collation/ms_197_030/ms_197_030.html</a>,"Online? Yes",""
